,SeriesInstanceUID,StudyInstanceUID
76,1.2.826.0.1.534147.667.2747872357.202341841925122.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
77,1.2.826.0.1.534147.667.2747872357.2023418940983,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
78,1.2.826.0.1.534147.667.2747872357.202341761051569.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
79,1.2.826.0.1.534147.667.2747872357.2023410115020540.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
80,1.2.826.0.1.534147.667.2747872357.20234185258100.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.180734446075384724796074691535
81,1.2.826.0.1.534147.667.2747872357.2023410104922888.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.187643362445820531002299396025
82,1.2.826.0.1.534147.667.2747872357.2023418122541497,1.3.6.1.4.1.14519.5.2.1.3320.3273.228290172296428533069650299235
83,1.2.826.0.1.534147.667.2747872357.202341844135344,1.3.6.1.4.1.14519.5.2.1.2932.1975.286163095845630643212362400137
84,1.2.826.0.1.534147.667.2747872357.202341851644775.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.285777393888048531955987314771
85,1.2.826.0.1.534147.667.2747872357.202341075841126.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
86,1.2.826.0.1.534147.667.2747872357.20234184413207.4,1.3.6.1.4.1.14519.5.2.1.2932.1975.286163095845630643212362400137
87,1.2.826.0.1.534147.667.2747872357.20234171194318,1.3.6.1.4.1.14519.5.2.1.3320.3273.222790087209835257164504008519
88,1.2.826.0.1.534147.667.2747872357.202341863949314.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
89,1.2.826.0.1.534147.667.2747872357.202341865044231.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.309521824160653805254980817690
90,1.2.826.0.1.534147.667.2747872357.202341891935647.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
91,1.2.826.0.1.534147.667.2747872357.202341811458318.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.731749609509707710521529634482
92,1.2.826.0.1.534147.667.2747872357.20234961151251.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
93,1.2.826.0.1.534147.667.2747872357.202341812717286.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.962163137940544766191077843265
94,1.2.826.0.1.534147.667.2747872357.202341010502760.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.187643362445820531002299396025
95,1.2.826.0.1.534147.667.2747872357.202341011535739.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
96,1.2.826.0.1.534147.667.2747872357.202341844038194.4,1.3.6.1.4.1.14519.5.2.1.2932.1975.286163095845630643212362400137
97,1.2.826.0.1.534147.667.2747872357.20234186252528.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
98,1.2.826.0.1.534147.667.2747872357.2023410115851258,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
99,1.2.826.0.1.534147.667.2747872357.202341755719238.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.272955509432106520123733663156
100,1.2.826.0.1.534147.756.812677238.202321751149940.4,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
101,1.2.826.0.1.534147.667.2747872357.2023418103412442.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.731749609509707710521529634482
102,1.2.826.0.1.534147.667.2747872357.20234186392022.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
103,1.2.826.0.1.534147.667.2747872357.202341012734516.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
104,1.2.826.0.1.534147.667.2747872357.202341710596345.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.222790087209835257164504008519
105,1.2.826.0.1.534147.667.2747872357.202342341425106,1.3.6.1.4.1.14519.5.2.1.2932.1975.669849651815132593530795435161
106,1.2.826.0.1.534147.667.2747872357.2023499383119.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
107,1.2.826.0.1.534147.667.2747872357.20234234143651.4,1.3.6.1.4.1.14519.5.2.1.2932.1975.669849651815132593530795435161
108,1.2.826.0.1.534147.667.2747872357.202349121614906,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
109,1.2.826.0.1.534147.667.2747872357.2023418113758364.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.962163137940544766191077843265
110,1.2.826.0.1.534147.667.2747872357.202341753327367.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.189610219676126217462181578744
111,1.2.826.0.1.534147.667.2747872357.202349102525240.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.921901647081236446858497960801
112,1.2.826.0.1.534147.667.2747872357.202341882842591.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.157697918418377188987808337114
113,1.2.826.0.1.534147.756.812677238.202321643150835,1.3.6.1.4.1.14519.5.2.1.6450.2626.188550180493792372165153925927
114,1.2.826.0.1.534147.756.812677238.202322174746129.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.322048254776719123217975770619
115,1.2.826.0.1.534147.667.2747872357.2023410113718264.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.270034430960482880043098875164
116,1.2.826.0.1.534147.667.2747872357.20234184206381.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
117,1.2.826.0.1.534147.756.812677238.202322075259606.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.119810816975757991614926263086
118,1.2.826.0.1.534147.756.812677238.202321751220156.4,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
119,1.2.826.0.1.534147.667.2747872357.20234993724906.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
120,1.2.826.0.1.534147.667.2747872357.2023410115219242,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
121,1.2.826.0.1.534147.667.2747872357.20234234204115.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.262736964774169022991607075940
122,1.2.826.0.1.534147.667.2747872357.202341761018754,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
123,1.2.826.0.1.534147.667.2747872357.202341891949418.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
124,1.2.826.0.1.534147.756.812677238.202321791244817,1.3.6.1.4.1.14519.5.2.1.3320.3273.466187306220544796714523130057
125,1.2.826.0.1.534147.667.2747872357.202341762043108.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
126,1.2.826.0.1.534147.667.2747872357.202341841913824.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
127,1.2.826.0.1.534147.667.2747872357.20234187192689.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
128,1.2.826.0.1.534147.756.812677238.202322075311219.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.119810816975757991614926263086
129,1.2.826.0.1.534147.667.2747872357.202341011351532.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.270034430960482880043098875164
